nohup: ignoring input
Start loading file addresses ...
done! time: 0.9916117191314697
Number of images found: 289508
No model checkpoint found.
Current best validation metric (fid_score): inf
[(levelname)s] [Epoch 00] it=1310, time=7.254, generator: 0.6309, generator_static: 0.5962, discriminator: 1.3081, regularizer: 0.0389, pose_estimator: 0.1035
[(levelname)s] [Epoch 00] it=1320, time=7.170, generator: 0.7200, generator_static: 0.6905, discriminator: 1.3180, regularizer: 0.0398, pose_estimator: 0.1078
[(levelname)s] [Epoch 00] it=1330, time=7.200, generator: 0.7046, generator_static: 0.6697, discriminator: 1.2834, regularizer: 0.0405, pose_estimator: 0.1069
[(levelname)s] [Epoch 00] it=1340, time=7.253, generator: 0.7316, generator_static: 0.6567, discriminator: 1.3100, regularizer: 0.0419, pose_estimator: 0.1060
[(levelname)s] [Epoch 00] it=1350, time=7.315, generator: 0.6988, generator_static: 0.6935, discriminator: 1.2913, regularizer: 0.0428, pose_estimator: 0.0970
[(levelname)s] [Epoch 00] it=1360, time=7.230, generator: 0.7437, generator_static: 0.7221, discriminator: 1.2891, regularizer: 0.0376, pose_estimator: 0.1018
[(levelname)s] [Epoch 00] it=1370, time=7.151, generator: 0.7233, generator_static: 0.6926, discriminator: 1.2965, regularizer: 0.0396, pose_estimator: 0.1080
[(levelname)s] [Epoch 00] it=1380, time=7.168, generator: 0.7260, generator_static: 0.6965, discriminator: 1.3260, regularizer: 0.0439, pose_estimator: 0.1088
[(levelname)s] [Epoch 00] it=1390, time=7.080, generator: 0.7426, generator_static: 0.7002, discriminator: 1.2978, regularizer: 0.0362, pose_estimator: 0.0976
[(levelname)s] [Epoch 00] it=1400, time=7.174, generator: 0.7164, generator_static: 0.7059, discriminator: 1.2938, regularizer: 0.0379, pose_estimator: 0.0982
[(levelname)s] [Epoch 00] it=1410, time=7.187, generator: 0.7005, generator_static: 0.6675, discriminator: 1.3099, regularizer: 0.0444, pose_estimator: 0.1062
[(levelname)s] [Epoch 00] it=1420, time=7.193, generator: 0.6597, generator_static: 0.6584, discriminator: 1.2977, regularizer: 0.0404, pose_estimator: 0.1030
[(levelname)s] [Epoch 00] it=1430, time=7.225, generator: 0.6721, generator_static: 0.6412, discriminator: 1.3164, regularizer: 0.0400, pose_estimator: 0.1003
[(levelname)s] [Epoch 00] it=1440, time=7.220, generator: 0.7214, generator_static: 0.6895, discriminator: 1.2784, regularizer: 0.0425, pose_estimator: 0.0926
[(levelname)s] [Epoch 00] it=1450, time=7.247, generator: 0.6502, generator_static: 0.6234, discriminator: 1.2835, regularizer: 0.0421, pose_estimator: 0.0974
