nohup: ignoring input
Start loading file addresses ...
done! time: 0.9651718139648438
Number of images found: 289508
out/human_encoder/model.pt
=> Loading checkpoint from local file...
Loaded model checkpoint.
Current best validation metric (fid_score): inf
[(levelname)s] [Epoch 01] it=1470, time=4.741, generator: 0.7138, discriminator: 1.1897, regularizer: 0.0794, pose_estimator: 0.0235
[(levelname)s] [Epoch 01] it=1480, time=4.720, generator: 0.6955, discriminator: 1.1996, regularizer: 0.0823, pose_estimator: 0.0232
[(levelname)s] [Epoch 01] it=1490, time=4.718, generator: 0.6657, discriminator: 1.1678, regularizer: 0.0772, pose_estimator: 0.0232
[(levelname)s] [Epoch 01] it=1500, time=4.693, generator: 0.6551, discriminator: 1.2072, regularizer: 0.0809, pose_estimator: 0.0230
[(levelname)s] Saving checkpoint
[(levelname)s] [Epoch 01] it=1510, time=4.845, generator: 0.6631, discriminator: 1.1719, regularizer: 0.0826, pose_estimator: 0.0229
[(levelname)s] [Epoch 01] it=1520, time=4.695, generator: 0.6676, discriminator: 1.1727, regularizer: 0.0836, pose_estimator: 0.0232
[(levelname)s] [Epoch 01] it=1530, time=4.714, generator: 0.7342, discriminator: 1.1639, regularizer: 0.0745, pose_estimator: 0.0232
[(levelname)s] [Epoch 01] it=1540, time=4.699, generator: 0.6704, discriminator: 1.2087, regularizer: 0.0771, pose_estimator: 0.0232
[(levelname)s] [Epoch 01] it=1550, time=4.746, generator: 0.6750, discriminator: 1.2086, regularizer: 0.0736, pose_estimator: 0.0229
[(levelname)s] [Epoch 01] it=1560, time=4.774, generator: 0.6433, discriminator: 1.2498, regularizer: 0.0839, pose_estimator: 0.0230
[(levelname)s] [Epoch 01] it=1570, time=4.738, generator: 0.7181, discriminator: 1.1644, regularizer: 0.0752, pose_estimator: 0.0227
[(levelname)s] [Epoch 01] it=1580, time=4.753, generator: 0.6698, discriminator: 1.1693, regularizer: 0.0801, pose_estimator: 0.0232
[(levelname)s] [Epoch 01] it=1590, time=4.731, generator: 0.6693, discriminator: 1.1948, regularizer: 0.0784, pose_estimator: 0.0229
[(levelname)s] [Epoch 01] it=1600, time=4.715, generator: 0.7348, discriminator: 1.1828, regularizer: 0.0724, pose_estimator: 0.0227
[(levelname)s] [Epoch 01] it=1610, time=4.684, generator: 0.7260, discriminator: 1.1556, regularizer: 0.0794, pose_estimator: 0.0227
